section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,M.S. Candidate in Program Evaluation and Data Analytics,Arizona State University,"Tempe, AZ",2024,2025,"Coursework in policy analysis, research methods, data-driven decision-making, and program evaluation","Conducted projects analyzing government census-data to identify connections between social variables and public funding",NA
education,TRUE,B.A. in Business with a Concentration in Law,Arizona State University,"Tempe, AZ",2022,2024,"Completed degree in business, including coursework in business design, market research, and marketing","Minor in Law, with a Concentration in law related to business field",NA
work_positions,TRUE,Store Manager,Starbucks Coffee Company,"Raleigh, NC",2023,2025,"Analyzed business data to to drive improvements in efficiency and revenue growth","Monitored KPIs and operational metrics to identify trends and implement data-informed process changes","Managed and developed cross-functional teams to meet and exceed performance targets"
work_positions,TRUE,Assistant Store Manager,Starbucks Coffee Company,"Raleigh, NC",2022,2023,"Led workforce scheduling based on sales forecasts and customer demand analytics","Tracked inventory data trends to support cost-effective ordering and investment decisions","Improved team performance by developing and leading targeted training and mentorship initiatives"
analytical_experience,TRUE,Data Analysis & Visualization,Arizona State University,"Tempe, AZ",NA,NA,"Conducted exploratory data analysis and statistical modeling using R and RStudio","Created data visualizations and dashboards to identify trends and communicate insights","Utilized Microsoft Excel (including Power Query and pivot tables) for data cleaning, aggregation, and analysis","Analyzed large datasets of 80,000+ tracts to support academic projects in policy, economics, and program evaluation",NA,NA
analytical_experience,TRUE,Program Evaluation,Arizona State University,"Tempe, AZ",NA,NA,"Assessed quantitative and qualitative research models to evaluate policy effectiveness and program outcomes","Conducted evaluations using statistical methods to analyze impact and identify areas for improvement","Developed evidence-based recommendations grounded in data analysis and stakeholder needs",NA,NA
analytical_experience,TRUE,Legislative Processes,Arizona State University,"Raleigh, NC",NA,NA,"Gained foundational knowledge of policy development, government operations, and regulatory compliance through coursework and research","Developed understanding of how legal frameworks impact data governance, compliance, and public sector decision-making",NA,NA
analytical_experience,TRUE,Budget & Fiscal Analysis,Arizona State University,"Raleigh, NC",NA,NA,"Experience in financial planning, forecasting, and cost- benefit analysis",NA,NA
analytical_experience,TRUE,Stakeholder Engagement,Arizona State University,"Raleigh, NC",NA,NA,"Strong communication and relationship-building skills to facilitate collaboration",NA,NA
technical_skills,TRUE,Programming & Data Tools,Arizona State University, "Raleigh, NC",NA,NA,"R, RStudio, Microsoft Excel, Microsoft Powerpoint",NA,NA
technical_skills,TRUE,Research & Writing,Arizona State University, "Raleigh, NC",NA,NA,"Policy briefs, memos, analytical reports",NA,NA
technical_skills,TRUE,Legislative Tools,Arizona State University, "Raleigh, NC",NA,NA,"Familiarity with government databases, legal research tools, and regulatory compliance",NA,NA
